"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","TC2-AI: Xeon with ECC DDR4 and 10G Ethernet - AI Validated","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AI-Powered Validation","boardbot-ai-validation.spec.js","",""
"","3","TC3.2: Search for reconfigurable FPGA AMC with 100G I/O and DDR3 buffering","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 3.2","AdvancedMC/advancedmc-3.2.spec.ts","",""
"","3","TC1.1: Search for compact 3U ATCA chassis with 2 slots and RTM support","chromium","2025-12-22","failed","2025-12-22","AdvancedTCA Product Search - Suite 1.1","AdvancedTCA/advancedtca-1.1.spec.ts","",""
"","5","Verify BoardBot interface using POM","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot Tests with POM","boardbot-pom.spec.js","",""
"","5","TC3: Intel Xeon E-2276ME 6-core model","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation (Clean)","boardbot-product-validation.spec.js","",""
"","3","TC2.3: Search for Netarium-14 ATCA with 40GbE and 5-NINES availability","chromium","2025-12-22","failed","2025-12-22","AdvancedTCA Product Search - Suite 2.3","AdvancedTCA/advancedtca-2.3.spec.ts","",""
"","6","TC1: Search by Intel Xeon 6-core 2.8GHz with PCIe/RapidIO fabric","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation","boardbot-advanced.spec.js","",""
"","3","TC2.1: Search for MicroTCA 1U enclosure with PCIe Gen3","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 2.1","AdvancedMC/advancedmc-2.1.spec.ts","",""
"","6","Access BoardBot and ask about AMD motherboards","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot Tests","boardbot.spec.js","",""
"","5","Search for different product types","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot Tests with POM","boardbot-pom.spec.js","",""
"","3","TC2.2: Search for high-end telecom ATCA platform with high bandwidth","chromium","2025-12-22","failed","2025-12-22","AdvancedTCA Product Search - Suite 2.2","AdvancedTCA/advancedtca-2.2.spec.ts","",""
"","3","TC2.3: Search for rugged MicroTCA chassis for Mil/Aero","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 2.3","AdvancedMC/advancedmc-2.3.spec.ts","",""
"","3","TC1-AI: Intel Xeon 6-core with PCIe/RapidIO - AI Validated","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AI-Powered Validation","boardbot-ai-validation.spec.js","",""
"","3","TC2.2: Search for front-to-rear cooled 1U chassis with modern shelf manager","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 2.2","AdvancedMC/advancedmc-2.2.spec.ts","",""
"","5","TC2: Search by Xeon with ECC DDR4 16GB and 10G Ethernet","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation","boardbot-advanced.spec.js","",""
"","3","TC3.1: Search for AMC FPGA module with dual zQSFP+ 100G Ethernet","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 3.1","AdvancedMC/advancedmc-3.1.spec.ts","",""
"","3","Generate AI-Powered Test Report","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AI-Powered Validation","boardbot-ai-validation.spec.js","",""
"","3","TC3: Search for AdvancedMC board with Intel Xeon E-2276ME and flexible fabric options","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 1.3","AdvancedMC/advancedmc-1.3.spec.ts","",""
"","6","TC3: Search by Intel Xeon E-2276ME 6-core model","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation","boardbot-advanced.spec.js","",""
"","9","Search for AMD motherboards using Page Object Model","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot Tests with POM","boardbot-pom.spec.js","",""
"","6","TC4: Compare results across all 3 query variations","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation","boardbot-advanced.spec.js","",""
